id,path,canonical,transcript,Canonical_time,Error
0,L2_arctic_WAV/ABA_arctic_a0003,f ao r dh ah t w eh n t iy ih th t ay m dh ae t iy v n ih ng dh ah t uw m eh n sh uh k hh ae n d z,f ao r dh ah t w eh n t iy ih th t ay m dh ae t iy v n ih ng k dh ah t uw m eh n sh uh k hh ae n s s,"[{(1, 8): 'f'}, {(8, 11): 'ao'}, {(11, 16): 'r'}, {(18, 28): 'dh'}, {(28, 30): 'ah'}, {(30, 35): 't'}, {(35, 41): 'w'}, {(41, 45): 'eh'}, {(45, 47): 'n'}, {(47, 54): 't'}, {(54, 55): 'iy'}, {(55, 56): 'ih'}, {(56, 61): 'th'}, {(75, 80): 't'}, {(80, 88): 'ay'}, {(88, 94): 'm'}, {(111, 118): 'dh'}, {(118, 122): 'ae'}, {(122, 132): 't'}, {(132, 137): 'iy'}, {(137, 140): 'v'}, {(140, 144): 'n'}, {(144, 148): 'ih'}, {(148, 157): 'ng'}, {(159, 169): 'dh'}, {(169, 172): 'ah'}, {(172, 180): 't'}, {(180, 186): 'uw'}, {(186, 191): 'm'}, {(191, 194): 'eh'}, {(194, 203): 'n'}, {(206, 214): 'sh'}, {(214, 218): 'uh'}, {(218, 224): 'k'}, {(224, 226): 'hh'}, {(226, 229): 'ae'}, {(229, 231): 'n'}, {(231, 235): 'd'}, {(235, 243): 'z'}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
1,L2_arctic_WAV/ABA_arctic_a0005,w ih l w iy eh v er f ao r g eh t ih t,w ih l w iy eh v ah f ao r g eh t eh t,"[{(2, 14): 'w'}, {(14, 17): 'ih'}, {(17, 20): 'l'}, {(20, 23): 'w'}, {(23, 34): 'iy'}, {(34, 39): 'eh'}, {(39, 45): 'v'}, {(45, 53): 'er'}, {(62, 71): 'f'}, {(71, 79): 'er'}, {(79, 87): 'g'}, {(87, 91): 'eh'}, {(91, 96): 't'}, {(98, 104): 'ih'}, {(104, 116): 't'}]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1]"
2,L2_arctic_WAV/ABA_arctic_a0006,g aa d b l eh s ah m ay hh ow p ay l g ow ao n s iy ih ng dh eh m f er eh v er,g aa d b l eh s dh ah m ay hh ow p ay l g ow ao n s iy ih ng dh eh m f er eh v ah,"[{(0, 5): 'g'}, {(5, 10): 'aa'}, {(10, 14): 'd'}, {(14, 17): 'b'}, {(17, 21): 'l'}, {(21, 26): 'eh'}, {(26, 41): 's'}, {(86, 100): 'ay'}, {(101, 105): 'hh'}, {(105, 112): 'ow'}, {(112, 117): 'p'}, {(122, 137): 'ay'}, {(137, 144): 'l'}, {(148, 159): 'g'}, {(159, 165): 'ow'}, {(165, 171): 'ao'}, {(171, 176): 'n'}, {(176, 183): 's'}, {(183, 185): 'iy'}, {(185, 187): 'ih'}, {(187, 198): 'ng'}, {(198, 200): 'dh'}, {(200, 206): 'eh'}, {(206, 208): 'm'}, {(208, 212): 'f'}, {(212, 216): 'er'}, {(216, 222): 'eh'}, {(222, 227): 'v'}, {(227, 233): 'er'}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
3,L2_arctic_WAV/ABA_arctic_a0007,ae n d y uw ao l w iy z w ao n t t uw s iy ih t ih n dh ah s uh p er l ah t ih v d ih g r iy,ae n d y uw ao l w iy z w ao n t t uw s iy eh t eh n dh ah s uh b er l ah t ih v d ih g r* iy,"[{(2, 10): 'ae'}, {(10, 13): 'n'}, {(13, 16): 'd'}, {(16, 17): 'y'}, {(17, 30): 'uw'}, {(32, 37): 'ao'}, {(37, 45): 'l'}, {(45, 48): 'w'}, {(48, 50): 'iy'}, {(50, 59): 'z'}, {(64, 75): 'w'}, {(75, 82): 'ao'}, {(82, 85): 'n'}, {(85, 91): 't'}, {(91, 93): 't'}, {(93, 96): 'uw'}, {(96, 104): 's'}, {(104, 112): 'iy'}, {(112, 119): 'ih'}, {(119, 131): 't'}, {(144, 155): 'ih'}, {(155, 159): 'n'}, {(159, 162): 'dh'}, {(162, 173): 'ah'}, {(187, 196): 's'}, {(196, 199): 'uh'}, {(199, 202): 'p'}, {(202, 206): 'er'}, {(206, 210): 'l'}, {(210, 214): 'ah'}, {(214, 220): 't'}, {(220, 224): 'ih'}, {(224, 226): 'v'}, {(226, 228): 'd'}, {(228, 231): 'ih'}, {(231, 233): 'g'}, {(233, 237): 'r'}, {(237, 245): 'iy'}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
4,L2_arctic_WAV/ABA_arctic_a0008,g ae d y uh r l eh t er k ey m jh ah s t ih n t ay m,g ae d y uh r* l eh t r* k ey m jh ah s t ih n t ay m,"[{(2, 13): 'g'}, {(13, 20): 'ae'}, {(20, 32): 'd'}, {(35, 48): 'y'}, {(48, 53): 'uh'}, {(53, 54): 'r'}, {(54, 61): 'l'}, {(61, 66): 'eh'}, {(66, 72): 't'}, {(72, 83): 'er'}, {(93, 100): 'k'}, {(100, 106): 'ey'}, {(106, 111): 'm'}, {(111, 116): 'jh'}, {(116, 120): 'ah'}, {(120, 124): 's'}, {(124, 128): 't'}, {(128, 132): 'ih'}, {(132, 135): 'n'}, {(135, 139): 't'}, {(139, 147): 'ay'}, {(147, 152): 'm'}]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,L2_arctic_WAV/ABA_arctic_a0010,ay m p l ey ih ng ah s ih ng g ah l hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m,ay m p l ey ih ng ah s ih ng g ah l hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m,"[{(2, 14): 'ay'}, {(14, 18): 'm'}, {(18, 21): 'p'}, {(21, 26): 'l'}, {(26, 30): 'ey'}, {(30, 33): 'ih'}, {(33, 39): 'ng'}, {(39, 42): 'ah'}, {(42, 48): 's'}, {(48, 52): 'ih'}, {(52, 55): 'ng'}, {(55, 56): 'g'}, {(56, 58): 'ah'}, {(58, 59): 'l'}, {(59, 67): 'hh'}, {(67, 73): 'ae'}, {(73, 77): 'n'}, {(77, 79): 'd'}, {(79, 86): 'ih'}, {(86, 93): 'n'}, {(93, 96): 'w'}, {(96, 100): 'ah'}, {(100, 105): 't'}, {(105, 110): 'l'}, {(110, 112): 'uh'}, {(112, 116): 'k'}, {(116, 121): 's'}, {(121, 125): 'l'}, {(125, 133): 'ay'}, {(133, 141): 'k'}, {(142, 150): 'ah'}, {(150, 156): 'l'}, {(156, 161): 'uw'}, {(161, 165): 'z'}, {(165, 168): 'ih'}, {(168, 172): 'ng'}, {(172, 176): 'g'}, {(176, 184): 'ey'}, {(184, 187): 'm'}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,L2_arctic_WAV/ABA_arctic_a0011,ih f ay eh v er n iy d ih d ah f ay t er ih n m ay l ay f ay n iy d w ah n n aw,ih f ay eh v ah n iy d ih d ah f ay t er ih n m ay l ay f ay n iy d w ah n n aw,"[{(1, 8): 'ih'}, {(8, 11): 'f'}, {(13, 20): 'ay'}, {(20, 29): 'eh'}, {(29, 35): 'v'}, {(35, 40): 'er'}, {(40, 47): 'n'}, {(47, 53): 'iy'}, {(53, 55): 'd'}, {(55, 57): 'ih'}, {(57, 64): 'd'}, {(65, 71): 'ah'}, {(71, 80): 'f'}, {(80, 84): 'ay'}, {(84, 91): 't'}, {(91, 96): 'er'}, {(96, 98): 'ih'}, {(98, 100): 'n'}, {(100, 107): 'm'}, {(107, 112): 'ay'}, {(112, 116): 'l'}, {(116, 123): 'ay'}, {(123, 131): 'f'}, {(132, 141): 'ay'}, {(141, 145): 'n'}, {(145, 149): 'iy'}, {(149, 156): 'd'}, {(156, 159): 'w'}, {(159, 162): 'ah'}, {(162, 167): 'n'}, {(167, 172): 'n'}, {(172, 183): 'aw'}]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,L2_arctic_WAV/ABA_arctic_a0013,hh iy w ao z ah hh eh d sh ao r t er dh ae n hh ih z k ah m p ae n y ah n ah v ao l m ow s t d eh l ah k ah t f ah z iy k,hh iy w ao z ah hh eh d sh ao r t er dh ae n hh ih z k ah m b ae n y ah n ah v ao l m ow s t d eh l ah k ey t f ah z iy k,"[{(0, 5): 'hh'}, {(5, 10): 'iy'}, {(10, 14): 'w'}, {(14, 20): 'ao'}, {(20, 24): 'z'}, {(26, 32): 'ah'}, {(32, 35): 'hh'}, {(35, 37): 'eh'}, {(37, 40): 'd'}, {(40, 47): 'sh'}, {(47, 52): 'ao'}, {(52, 54): 'r'}, {(54, 60): 't'}, {(60, 68): 'er'}, {(79, 86): 'dh'}, {(86, 91): 'ae'}, {(91, 93): 'n'}, {(93, 97): 'hh'}, {(97, 100): 'ih'}, {(100, 112): 'z'}, {(120, 126): 'k'}, {(126, 130): 'ah'}, {(130, 135): 'm'}, {(135, 137): 'p'}, {(137, 140): 'ae'}, {(140, 143): 'n'}, {(143, 149): 'y'}, {(149, 152): 'ah'}, {(152, 157): 'n'}, {(177, 182): 'ah'}, {(182, 186): 'v'}, {(187, 193): 'ao'}, {(193, 199): 'l'}, {(199, 204): 'm'}, {(204, 208): 'ow'}, {(208, 210): 's'}, {(210, 216): 't'}, {(216, 226): 'd'}, {(226, 228): 'eh'}, {(228, 231): 'l'}, {(231, 237): 'ah'}, {(237, 241): 'k'}, {(241, 247): 'ah'}, {(247, 254): 't'}, {(262, 270): 'f'}, {(270, 274): 'ah'}, {(274, 279): 'z'}, {(279, 281): 'iy'}, {(281, 293): 'k'}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]"
8,L2_arctic_WAV/ABA_arctic_a0018,dh eh r w aa z ah ch ey n jh n aw,z eh r* w aa z ah ch ey n jh n aw,"[{(1, 8): 'dh'}, {(8, 8): 'eh'}, {(8, 13): 'r'}, {(13, 17): 'w'}, {(17, 20): 'aa'}, {(20, 24): 'z'}, {(24, 28): 'ah'}, {(28, 37): 'ch'}, {(37, 43): 'ey'}, {(43, 46): 'n'}, {(46, 50): 'jh'}, {(50, 54): 'n'}, {(54, 64): 'aw'}]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,L2_arctic_WAV/ABA_arctic_a0019,ay f aa l ow d dh ah l ay n ah v dh ah p r ah p ow z d r ey l r ow d l uh k ih ng f ao r ch ae n s ih z,ay f aa l ow d dh ah l ay n ah v dh ah p r ah p ow z d r* ey l r* ow d l uh k ih ng f ao r ch ae n s ih z,"[{(1, 10): 'ay'}, {(10, 17): 'f'}, {(17, 18): 'aa'}, {(18, 23): 'l'}, {(23, 32): 'ow'}, {(32, 33): 'd'}, {(33, 34): 'dh'}, {(34, 39): 'ah'}, {(39, 40): 'l'}, {(40, 50): 'ay'}, {(50, 59): 'n'}, {(73, 79): 'ah'}, {(79, 84): 'v'}, {(84, 86): 'dh'}, {(86, 90): 'ah'}, {(90, 95): 'p'}, {(95, 97): 'r'}, {(97, 99): 'ah'}, {(99, 109): 'p'}, {(109, 116): 'ow'}, {(116, 120): 'z'}, {(120, 124): 'd'}, {(132, 137): 'r'}, {(137, 141): 'ey'}, {(141, 144): 'l'}, {(144, 151): 'r'}, {(151, 158): 'ow'}, {(158, 160): 'd'}, {(185, 192): 'l'}, {(192, 197): 'uh'}, {(197, 201): 'k'}, {(201, 202): 'ih'}, {(202, 208): 'ng'}, {(208, 216): 'f'}, {(216, 222): 'ao'}, {(222, 226): 'r'}, {(228, 239): 'ch'}, {(239, 243): 'ae'}, {(243, 247): 'n'}, {(247, 251): 's'}, {(251, 253): 'ih'}, {(253, 262): 'z'}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
