id,path,canonical,transcript
THA_Nu_6_S00042_201,audio_data/train/THA_Nu_6_S00042_201.wav,aː-0 m aː-4 ɗ aː-2 k ɔ-4 ɓ ɛ-4 l e-0 k ɔ-4 h aː-1 l aː-1 k w aː-1 k w i-4,aː-0 m aː-4 ɗ aː-2 k ɔ-4 ɓ ɛ-4 l e-0 k ɔ-4 h aː-1 l aː-1 k w aː-1 k w i-4
MK_7_NAM_S0005_6,audio_data/train/MK_7_NAM_S0005_6.wav,ɓ a-4 kz tʰ aː-0 ŋz ɓ ɛ-3 o-3 iz t͡ɕ i-4 nz v aː-1 ŋz t͡ɕ e-0 nz k ə-0 iz,ɓ a-4 kz tʰ aː-0 ŋz ɓ ɛ-3 o-3 iz t͡ɕ i-4 nz v aː-1 ŋz t͡ɕ e-0 nz k ə-0 iz
TPA_Nu_6_S0009_109,audio_data/train/TPA_Nu_6_S0009_109.wav,ɓ aː-0 k o-0 aː-0 iz k u-2 ŋmz ɗ ɛ-5 pz ɲ ɨ-0 t͡ɕ a-0 ŋz z a-1 mz,ɓ aː-0 k o-0 aː-0 iz k u-2 ŋmz ɗ ɛ-5 pz ɲ ɨ-0 t͡ɕ a-0 ŋz z a-1 mz
NHM_7_NU_S0006_63,audio_data/train/NHM_7_NU_S0006_63.wav,z ɔ-1 ŋmz k ɨ-3 uz l ɔ-0 ŋmz ɗ aː-2 n ɔ-0 ɗ ə-1 iz l aː-5 iz t͡ɕ aː-1 nz k w aː-0 ɓ əː-1 t͡ɕ aː-1 nz k w aː-0 k aː-3 m a-5 tz ɗ ɨə-1 ŋz,z ɔ-1 ŋmz k ɨ-3 uz l ɔ-0 ŋmz ɗ aː-2 n ɔ-0 ɗ ə-1 iz l aː-5 iz t͡ɕ aː-1 nz k w aː-0 ɓ əː-1 t͡ɕ aː-1 nz k w aː-0 k aː-3 m a-5 tz ɗ ɨə-1 ŋz
THA_Nu_6_S00042_109,audio_data/train/THA_Nu_6_S00042_109.wav,x i-0 ŋ i-0 n ɔ-4 iz ɗ e-4 nz s ɨ-0 t ɨ-3 t͡ɕ ɔ-4 s u-1 ɲ ɨ-0 tʰ e-4 n aː-1 uz,x i-0 ŋ i-0 n ɔ-4 iz ɗ e-4 nz s ɨ-0 t ɨ-3 t͡ɕ ɔ-4 s u-1 ɲ ɨ-0 tʰ e-4 n aː-1 uz
GQM_Nam_6_S0006_65,audio_data/train/GQM_Nam_6_S0006_65.wav,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k aː-4 v aː-1 k uə-0,t əː-4 ɗ aː-2 ɲ i-1 nz tʰ ə-4 iz k aː-4 h ɛ-0 uz v aː-1 k aː-4 v aː-1 k uə-0
DNK_7_NU_S0048_103,audio_data/train/DNK_7_NU_S0048_103.wav,l aː-5 iz f aː-4 tz z aː-0 ɲ ɨ-2 ŋz t iə-4 ŋz v i-0 v u-0 v i-0 v u-4 tz t ɨ-1 t͡ɕ e-0 nz n e-1 nz t͡ɕ əː-1 iz s eaː-0 ŋ̟z tʰ a-4 mz,l aː-5 iz f aː-4 tz z aː-0 ɲ ɨ-2 ŋz t iə-4 ŋz v i-0 v u-0 v i-0 v u-4 tz t ɨ-1 t͡ɕ e-0 nz n e-1 nz t͡ɕ əː-1 iz s eaː-0 ŋ̟z tʰ a-4 mz
NDBA_7_NAM_S0010_146,audio_data/train/NDBA_7_NAM_S0010_146.wav,ŋ ɨə-1 iz tʰ i-1 l e-0 nz z ɨ-1 ŋz z ɨ-1 ŋz ɗ o-4 kpz tʰ u-4 kpz ɓ o-5 h aː-5 s a-0 nz tʰ u-4 l aː-5 ɓ a-4 tz t͡ɕ i-0 mz k w i-4,ŋ ɨə-1 iz tʰ i-1 l e-0 nz z ɨ-1 ŋz z ɨ-1 ŋz ɗ o-4 kpz tʰ u-4 kpz ɓ o-5 h aː-5 s a-0 nz tʰ u-4 l aː-5 ɓ a-4 tz t͡ɕ i-0 mz k w i-4
TTT_Nu_6_S00049_33,audio_data/train/TTT_Nu_6_S00049_33.wav,t i-1 mz t iə-4 ŋz k ɔ-4 v ə-1 nz ə-0 mz ɲ ɛ-4,t i-1 mz t iə-4 ŋz k ɔ-4 v ə-1 nz ə-0 mz ɲ ɛ-4
TPA_Nu_6_S0009_156,audio_data/train/TPA_Nu_6_S0009_156.wav,ɓ ə-0 iz z əː-1 t əː-4 ɗ ɔ-5 kpz l aː-5 iz ɲ ɛ-4,ɓ ə-0 iz z əː-1 t əː-4 ɗ ɔ-5 kpz l aː-5 iz ɲ ɛ-4
